Graph,Vertices,Edges,Longest_Path,Average_Wavefront_Size,Short_Edges,Median_Edge_Length,Average_Edge_Length,Average_Bottom_Level
instance_exp_N30_K8_nzP0d15,1395,3024,17,82.0588,2142,1,3.33333,9.72258
instance_exp_N44_K5_nzP0d15,1932,4170,11,175.636,3058,1,2.33333,6.71946
instance_kNN_N50_K4_nzP0d18,1541,2763,9,171.222,1851,1,2.60116,3.71707
instance_spmv_N65_nzP0d18,1604,2211,3,534.667,2211,1,1,2.45948
instance_kNN_N50_K5_nzP0d16,1896,3801,11,172.364,2543,1,2.96369,4.73892
instance_exp_N35_K4_nzP0d15,1020,2028,9,113.333,1521,1,2,5.66274
instance_kNN_N30_K10_nzP0d15,1585,3519,21,75.4762,2350,1,4.74766,9.48265
instance_CG_N9_K9_nzP0d35,1099,2242,108,10.1759,1415,1,8.5058,51.0955
instance_CG_N21_K5_nzP0d3,1888,3996,60,31.4667,2658,1,6.44745,32.1483
instance_spmv_N7_nzP0d35,54,60,3,18,60,1,1,2.37037
instance_spmv_N6_nzP0d4,48,54,3,16,54,1,1,2.375
instance_CG_N2_K2_nzP0d75,65,108,24,2.70833,71,1,3.2963,13
instance_bicgstab,54,62,9,6,44,1,1.6129,4.59259
instance_CG_N3_K1_nzP0d5,60,92,12,5,66,1,2.28261,7.23333
instance_exp_N5_K3_nzP0d4,63,102,7,9,80,1,1.64706,4.65079
instance_k-NN_3_gyro_m,60,93,21,2.85714,54,1,3.36559,11.9333
instance_kNN_N5_K3_nzP0d3,57,84,7,8.14286,59,1,1.95238,3.52632
instance_k-means,40,45,8,5,32,1,1.51111,4.125
instance_exp_N6_K4_nzP0d25,70,105,9,7.77778,77,1,2.1619,4.92857
instance_pregel,57,104,5,11.4,69,1,1.54808,2.66667
instance_kNN_N6_K4_nzP0d2,71,117,9,7.88889,82,1,2.21368,4.8169
instance_spmv_N10_nzP0d25,78,87,3,26,87,1,1,2.37179
instance_exp_N4_K2_nzP0d5,45,66,5,9,55,1,1.33333,3.48889
instance_kNN_N4_K3_nzP0d5,48,72,7,6.85714,51,1,1.91667,3.66667
instance_CG_N4_K1_nzP0d35,78,120,12,6.5,86,1,2.29167,7.24359
